"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"胆管间隙 Bile Duct Gap","PG(16:0/20:3(5Z,8Z,11Z))","C42H77O10P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","HMDB0010578",89.6921017402945,86.9504754464887,-0.00403945862056143,0.755638094668144,1
"胆管间隙 Bile Duct Gap","PG(16:1(9Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C42H71O13P",NA,NA,NA,"HMDB0268729",67.3360107095047,67.2802238504431,0.0146333584467663,0.287926840707706,1
"胆管间隙 Bile Duct Gap","PG(16:1(9Z)/LTE4)","C45H78NO13PS",NA,NA,NA,"HMDB0268693",50.7362784471218,49.3391899900331,0.000498258645104721,0.985402517611285,1
"胆管间隙 Bile Duct Gap","PG(16:1(9Z)/PGJ2)","C42H71O12P",NA,NA,NA,"HMDB0268691",47.2556894243641,46.0491137569701,-0.0107230332900347,0.446348949925514,1
"胆管间隙 Bile Duct Gap","PG(18:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R))","C44H79O12P",NA,NA,NA,"HMDB0268799",33.3333333333333,36.1778749023516,-0.0372998645014718,0.0384941797099162,1
"胆管间隙 Bile Duct Gap","PG(18:0/22:4(7Z,10Z,13Z,16Z))","C46H83O10P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","HMDB0010611",94.1097724230254,92.8482679201573,-0.00510391418853606,0.00216429211223704,1
"胆管间隙 Bile Duct Gap","PG(18:2(9Z,11Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C46H75O11P",NA,NA,NA,"HMDB0269151",77.7777777777778,75.6264647253724,0.014446452848995,0.698659093445399,1
"胆管间隙 Bile Duct Gap","PG(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))","C44H75O10P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","HMDB0116575",81.2583668005355,80.5499622875306,-0.020155184562926,0.0218898021835603,1
"胆管间隙 Bile Duct Gap","PG(18:3(6Z,9Z,12Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C44H71O13P",NA,NA,NA,"HMDB0269353",92.3694779116466,90.7094321579614,0.0407477655513548,0.000558794031363089,1
"胆管间隙 Bile Duct Gap","PG(18:3(6Z,9Z,12Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C46H73O11P",NA,NA,NA,"HMDB0269359",96.1178045515395,92.4181100665356,0.049151523740138,0.000150360575470156,1
